DataName,Selected,Percentage,Total,Support,Quality
mushroom10,38,1.15995115995116,3276,10,ChiSquare
mushroom10,4,0.1221001221001221,3276,10,Confidence
mushroom10,4,0.1221001221001221,3276,10,NGR
mushroom10,21,0.641025641025641,3276,10,WRAcc
mushroom15,15,0.9810333551340745,1529,15,ChiSquare
mushroom15,3,0.1962066710268149,1529,15,Confidence
mushroom15,3,0.1962066710268149,1529,15,NGR
mushroom15,7,0.45781556572923476,1529,15,WRAcc
mushroom20,9,1.1097410604192355,811,20,ChiSquare
mushroom20,3,0.36991368680641185,811,20,Confidence
mushroom20,2,0.2466091245376079,811,20,NGR
mushroom20,4,0.4932182490752158,811,20,WRAcc
primary-tumor10,54,0.1740587931923672,31024,10,ChiSquare
primary-tumor10,18,0.05801959773078907,31024,10,Confidence
primary-tumor10,17,0.05479628674574523,31024,10,NGR
primary-tumor10,16,0.0515729757607014,31024,10,WRAcc
primary-tumor15,43,0.25350784105647917,16962,15,ChiSquare
primary-tumor15,12,0.07074637424831977,16962,15,Confidence
primary-tumor15,9,0.05305978068623984,16962,15,NGR
primary-tumor15,7,0.04126871831151987,16962,15,WRAcc
primary-tumor20,31,0.32328709980185627,9589,20,ChiSquare
primary-tumor20,12,0.12514339347168632,9589,20,Confidence
primary-tumor20,14,0.14600062571696737,9589,20,NGR
primary-tumor20,2,0.020857232245281052,9589,20,WRAcc
soybean10,29,0.9975920192638458,2907,10,ChiSquare
soybean10,12,0.41279669762641896,2907,10,Confidence
soybean10,25,0.8599931200550396,2907,10,NGR
soybean10,8,0.27519779841761266,2907,10,WRAcc
soybean15,16,1.098901098901099,1456,15,ChiSquare
soybean15,6,0.4120879120879121,1456,15,Confidence
soybean15,6,0.4120879120879121,1456,15,NGR
soybean15,3,0.20604395604395606,1456,15,WRAcc
soybean20,11,1.3033175355450237,844,20,ChiSquare
soybean20,4,0.47393364928909953,844,20,Confidence
soybean20,5,0.5924170616113744,844,20,NGR
soybean20,1,0.11848341232227488,844,20,WRAcc
splice-1-10,23,1.4330218068535825,1605,10,ChiSquare
splice-1-10,49,3.0529595015576323,1605,10,Confidence
splice-1-10,49,3.0529595015576323,1605,10,NGR
splice-1-10,25,1.557632398753894,1605,10,WRAcc
splice-1-15,5,1.1933174224343674,419,15,ChiSquare
splice-1-15,5,1.1933174224343674,419,15,Confidence
splice-1-15,5,1.1933174224343674,419,15,NGR
splice-1-15,7,1.6706443914081146,419,15,WRAcc
splice-1-20,1,0.411522633744856,243,20,ChiSquare
splice-1-20,1,0.411522633744856,243,20,Confidence
splice-1-20,1,0.411522633744856,243,20,NGR
splice-1-20,1,0.411522633744856,243,20,WRAcc
tic-tac-toe10,0,0,191,10,ChiSquare
tic-tac-toe10,0,0,191,10,Confidence
tic-tac-toe10,0,0,191,10,NGR
tic-tac-toe10,0,0,191,10,WRAcc
tic-tac-toe15,0,0,111,15,ChiSquare
tic-tac-toe15,0,0,111,15,Confidence
tic-tac-toe15,0,0,111,15,NGR
tic-tac-toe15,0,0,111,15,WRAcc
tic-tac-toe20,0,0,26,20,ChiSquare
tic-tac-toe20,0,0,26,20,Confidence
tic-tac-toe20,0,0,26,20,NGR
tic-tac-toe20,0,0,26,20,WRAcc
vote10,22,0.061504053676265026,35770,10,ChiSquare
vote10,34,0.09505171931786413,35770,10,Confidence
vote10,37,0.1034386357282639,35770,10,NGR
vote10,20,0.05591277606933184,35770,10,WRAcc
vote15,17,0.11610435732823385,14642,15,ChiSquare
vote15,19,0.12976369348449665,14642,15,Confidence
vote15,18,0.12293402540636525,14642,15,NGR
vote15,12,0.08195601693757683,14642,15,WRAcc
vote20,10,0.1383700013837,7227,20,ChiSquare
vote20,3,0.04151100041511,7227,20,Confidence
vote20,3,0.04151100041511,7227,20,NGR
vote20,9,0.12453300124533001,7227,20,WRAcc
zoo-1-10,10,0.32175032175032175,3108,10,ChiSquare
zoo-1-10,3,0.09652509652509653,3108,10,Confidence
zoo-1-10,3,0.09652509652509653,3108,10,NGR
zoo-1-10,6,0.19305019305019305,3108,10,WRAcc
zoo-1-15,10,0.43421623968736434,2303,15,ChiSquare
zoo-1-15,2,0.08684324793747286,2303,15,Confidence
zoo-1-15,2,0.08684324793747286,2303,15,NGR
zoo-1-15,7,0.303951367781155,2303,15,WRAcc
zoo-1-20,8,0.4944375772558714,1618,20,ChiSquare
zoo-1-20,3,0.1854140914709518,1618,20,Confidence
zoo-1-20,3,0.1854140914709518,1618,20,NGR
zoo-1-20,6,0.3708281829419036,1618,20,WRAcc
